fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1967,1967,Financed by: Net borrowing abroad,Fresh Loans,10.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1333,0.5455,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Financed by: Net borrowing abroad,Fresh Loans,25.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3406,1.3834,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Financed by: Net borrowing abroad,Fresh Loans,26.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3485,1.3686,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Financed by: Net borrowing abroad,Fresh Loans,28.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.371,1.4317,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Financed by: Net borrowing abroad,Fresh Loans,28.9,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3815,1.4143,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
preliminary_actuals_1972,1972,Financed by: Net borrowing abroad,Fresh Loans,25.1,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,0.3314,1.1542,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
budget_estimates_1973,1973,Financed by: Net borrowing abroad,Fresh Loans,60.9,billion rials,"BUDGET ESTIMATE for 1973, not an actual.",IRN,wb1974-table6.1-central-govt-operations-summary,0.8841,2.5479,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1962,1962,Financed by: Net borrowing abroad,Repayments,-1.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.0198,-0.0874,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Financed by: Net borrowing abroad,Repayments,-1.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.0158,-0.0696,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Financed by: Net borrowing abroad,Repayments,-1.3,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.0172,-0.0726,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Financed by: Net borrowing abroad,Repayments,-2.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.029,-0.1204,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Financed by: Net borrowing abroad,Repayments,-2.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.029,-0.1208,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Financed by: Net borrowing abroad,Repayments,-1.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.0198,-0.081,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Financed by: Net borrowing abroad,Repayments,-3.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.0449,-0.1823,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Financed by: Net borrowing abroad,Repayments,-5.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.0673,-0.2644,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Financed by: Net borrowing abroad,Repayments,-8.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.1122,-0.4331,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Financed by: Net borrowing abroad,Repayments,-13.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.1809,-0.6704,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
preliminary_actuals_1972,1972,Financed by: Net borrowing abroad,Repayments,-14.4,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,-0.1901,-0.6622,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
budget_estimates_1973,1973,Financed by: Net borrowing abroad,Repayments,-18.9,billion rials,"BUDGET ESTIMATE for 1973, not an actual.",IRN,wb1974-table6.1-central-govt-operations-summary,-0.2744,-0.7907,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1962,1962,Financed by: Net borrowing from the banking system,,0.6,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0079,0.0349,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Financed by: Net borrowing from the banking system,,5.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0713,0.3133,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Financed by: Net borrowing from the banking system,,8.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1149,0.4858,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Financed by: Net borrowing from the banking system,,3.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0449,0.186,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Financed by: Net borrowing from the banking system,,4.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.062,0.2581,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Financed by: Net borrowing from the banking system,,14.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1901,0.7777,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Financed by: Net borrowing from the banking system,,10.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1426,0.5791,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Financed by: Net borrowing from the banking system,,25.3,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.334,1.3116,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Financed by: Net borrowing from the banking system,,31.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.4145,1.5999,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
