REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,LATEST_DATA,OBS_STATUS,FREQ
ESP,WEF_GCIHH_EOSQ100,2010,3.78,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2010,47,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2009,4,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2009,35,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2008,4.36,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2008,31,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2007,4.71,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2007,30,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2017,4.11,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
ESP,WEF_GCIHH_EOSQ104,2017,41,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
ESP,WEF_GCIHH_EOSQ104,2016,4.12,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2016,38,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2015,4.15,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2015,38,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2014,4.3,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2014,54,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2013,4.39,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2013,47,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2012,4.33,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2012,49,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2011,4.54,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2011,36,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2010,4.57,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2010,33,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ104,2009,4.6,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
