country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
TUR,Turkey,2020,135328998733.0407,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
USA,United States,1990,700154604606.9194,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
USA,United States,1991,706387920166.56,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
USA,United States,1992,740412719454.4382,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
USA,United States,1993,654665611481.0532,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
USA,United States,1994,830937044837.9464,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
USA,United States,1995,872965984992.5729,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
USA,United States,1996,1002724004199.8416,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
USA,United States,1997,1219014385339.307,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
USA,United States,1998,1304060336846.7087,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
USA,United States,1999,1272791421446.1218,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
